date,open,high,low,close,preclose,volume,amount,turn,pctChg,divident
2018-07-16,4529.449,4546.212,4459.065,4472.336,4546.806,1360523808,12726137600.0,0.00114,-1.6379,0.0
2018-07-17,4466.443,4474.148,4420.867,4450.019,4472.336,1113621104,10664176384.0,0.000933,-0.499,0.0
2018-07-18,4469.058,4511.57,4434.055,4435.675,4450.019,1171905296,12005347072.0,0.000981,-0.3223,0.0
2018-07-19,4458.757,4488.546,4432.341,4445.717,4435.675,1258745808,14312723456.0,0.001054,0.2264,0.0
2018-07-20,4442.102,4660.446,4423.369,4631.943,4445.717,3179472608,32460221440.0,0.002662,4.1889,0.0
2018-07-23,4617.885,4720.819,4605.788,4700.205,4631.943,3206598896,31634347008.0,0.002685,1.4737,0.0
2018-07-24,4700.034,4792.248,4700.034,4734.22,4700.205,3261971600,33544345088.0,0.002731,0.7237,0.0
2018-07-25,4752.586,4754.609,4711.458,4740.51,4734.22,1757155008,17299318528.0,0.001471,0.1329,0.0
2018-07-26,4749.403,4767.068,4679.377,4689.628,4740.51,1797009904,17798700800.0,0.001504,-1.0733,0.0
2018-07-27,4684.595,4711.416,4654.609,4680.939,4689.628,1269514800,12685419520.0,0.001063,-0.1853,0.0
2018-07-30,4674.998,4749.209,4667.197,4718.049,4680.939,1648243504,15273897728.0,0.00138,0.7928,0.0
2018-07-31,4709.579,4745.297,4673.467,4725.264,4718.049,1627744208,14737796864.0,0.001363,0.1529,0.0
2018-08-01,4737.485,4776.003,4616.07,4618.409,4725.264,1876979808,19139528960.0,0.001571,-2.2614,0.0
2018-08-02,4601.973,4618.954,4477.083,4512.549,4618.409,1955004800,19309607168.0,0.001637,-2.2921,0.0
2018-08-03,4516.539,4560.904,4501.5,4502.526,4512.549,1347054496,12205228800.0,0.001128,-0.2221,0.0
2018-08-06,4515.46,4588.059,4487.56,4507.521,4502.526,1737489808,16069262592.0,0.001455,0.1109,0.0
2018-08-07,4521.96,4616.09,4510.786,4616.09,4507.521,1762016096,18072805376.0,0.001475,2.4086,0.0
2018-08-08,4607.82,4607.82,4539.505,4544.516,4616.09,1278822704,13099740416.0,0.001071,-1.5505,0.0
2018-08-09,4527.668,4651.395,4526.116,4637.334,4544.516,1564221200,17028469504.0,0.00131,2.0424,0.0
2018-08-10,4636.401,4641.335,4585.81,4618.212,4637.334,1105749808,11162686208.0,0.000926,-0.4124,0.0
2018-08-13,4576.987,4576.987,4498.402,4557.503,4618.212,1614991504,15231089408.0,0.001352,-1.3146,0.0
2018-08-14,4549.79,4561.603,4519.765,4543.575,4557.503,1025327104,9660096256.0,0.000858,-0.3056,0.0
2018-08-15,4539.978,4540.766,4435.349,4441.154,4543.575,1290125200,13589446656.0,0.00108,-2.2542,0.0
2018-08-16,4400.157,4499.15,4379.165,4458.567,4441.154,1526898304,14498837504.0,0.001278,0.3921,0.0
2018-08-17,4493.641,4498.775,4418.35,4425.513,4458.567,1166430000,11390081536.0,0.000977,-0.7414,0.0
2018-08-20,4455.801,4503.657,4436.35,4503.657,4425.513,1344387808,13823797760.0,0.001125,1.7658,0.0
2018-08-21,4508.631,4576.303,4505.945,4550.789,4503.657,1407147696,16044420608.0,0.001178,1.0465,0.0
2018-08-22,4572.815,4572.815,4530.393,4549.729,4550.789,881937104,13074374656.0,0.000738,-0.0233,0.0
2018-08-23,4553.383,4596.873,4535.066,4577.606,4549.729,1095467904,13793807616.0,0.000917,0.6127,0.0
2018-08-24,4555.153,4686.121,4544.088,4632.753,4577.606,1876901296,18643415552.0,0.001571,1.2047,0.0
2018-08-27,4648.109,4689.971,4624.75,4689.971,4632.753,1978274800,20271548672.0,0.001656,1.2351,0.0
2018-08-28,4690.017,4702.788,4653.065,4664.5,4689.971,1221239200,13295562240.0,0.001022,-0.5431,0.0
2018-08-29,4657.631,4668.481,4638.968,4652.703,4664.5,1020793296,10562905088.0,0.000855,-0.2529,0.0
2018-08-30,4655.718,4678.393,4605.091,4605.091,4652.703,1152103104,12124782080.0,0.000965,-1.0233,0.0
2018-08-31,4593.487,4660.408,4591.146,4628.21,4605.091,1735481200,16508159744.0,0.001453,0.502,0.0
