date,open,high,low,close,preclose,volume,amount,turn,pctChg,divident
2018-10-29,5690.619,5691.012,5501.716,5515.648,5821.034,1805794688,38359127040.0,0.007542,-5.2463,0.0
2018-10-30,5447.95,5604.835,5393.634,5531.875,5515.648,1827973984,45283942912.0,0.007634,0.2942,0.0
2018-10-31,5552.436,5690.9,5549.989,5679.047,5531.875,1827782816,37828635648.0,0.007634,2.6604,0.0
2018-11-01,5733.6,5861.137,5731.886,5758.368,5679.047,2154006480,44529736960.0,0.008979,1.3967,0.0
2018-11-02,5934.664,6046.522,5879.849,6045.551,5758.368,2650471376,54166776064.0,0.011048,4.9872,0.0
2018-11-05,6004.308,6025.203,5913.292,5984.325,6045.551,1936356256,38461819392.0,0.008063,-1.0127,0.0
2018-11-06,5971.936,5971.936,5873.564,5940.284,5984.325,1525506400,28069652480.0,0.006352,-0.7359,0.0
2018-11-07,5940.851,6003.294,5895.439,5921.047,5940.284,1689224304,29875227648.0,0.007034,-0.3238,0.0
2018-11-08,5972.261,5980.813,5901.18,5914.438,5921.047,1364581088,25190081792.0,0.005682,-0.1116,0.0
2018-11-09,5874.21,5902.882,5838.598,5861.676,5914.438,1329312192,23987935488.0,0.005535,-0.8921,0.0
2018-11-12,5839.296,5931.436,5788.415,5924.45,5861.676,1609854176,30410068224.0,0.006704,1.0709,0.0
2018-11-13,5849.948,6049.319,5838.655,6023.586,5924.45,2262780112,38644877056.0,0.009421,1.6733,0.0
2018-11-14,6016.623,6016.818,5943.588,5949.132,6023.586,1761500832,29333944320.0,0.007334,-1.236,0.0
2018-11-15,5940.457,5979.965,5923.967,5979.96,5949.132,1566530832,27353836800.0,0.006522,0.5182,0.0
2018-11-16,5984.708,6010.479,5920.659,5978.667,5979.96,1954059040,34003860992.0,0.008136,-0.0216,0.0
2018-11-19,5972.801,6028.804,5948.465,6021.666,5978.667,1853887888,32695041536.0,0.007719,0.7192,0.0
2018-11-20,5980.831,5992.7,5895.649,5902.066,6021.666,1731880048,28683415040.0,0.007211,-1.9862,0.0
2018-11-21,5843.988,5960.085,5840.913,5947.14,5902.066,1497725760,26814012160.0,0.006236,0.7637,0.0
2018-11-22,5961.623,5978.644,5914.38,5956.5,5947.14,1409112656,23014400000.0,0.005867,0.1574,0.0
2018-11-23,5943.537,5950.017,5826.158,5831.839,5956.5,1684299488,27994939136.0,0.007013,-2.0929,0.0
2018-11-26,5832.897,5861.394,5797.969,5809.867,5831.839,1112357648,19424812544.0,0.004631,-0.3768,0.0
2018-11-27,5833.958,5852.486,5785.908,5804.36,5809.867,1031285264,18812940800.0,0.004294,-0.0948,0.0
2018-11-28,5808.425,5889.067,5773.445,5885.694,5804.36,1523045856,24209504512.0,0.006341,1.4013,0.0
2018-11-29,5926.066,5943.113,5828.038,5828.278,5885.694,1475818320,26128326656.0,0.006145,-0.9755,0.0
2018-11-30,5834.374,5903.286,5815.875,5894.955,5828.278,1265433520,26149617152.0,0.005269,1.144,0.0
2018-12-03,6048.118,6130.656,6007.726,6107.969,5894.955,2217833008,47404747008.0,0.009234,3.6135,0.0
2018-12-04,6092.493,6127.457,6072.63,6124.987,6107.969,1505607648,28344284928.0,0.006269,0.2786,0.0
2018-12-05,6043.042,6172.972,6034.592,6140.583,6124.987,1644811552,33410682112.0,0.006848,0.2546,0.0
2018-12-06,6077.223,6101.169,5953.923,5960.392,6140.583,1638521168,35554089472.0,0.006821,-2.9344,0.0
2018-12-07,5953.657,5962.334,5875.769,5887.63,5960.392,1384715232,29623254528.0,0.005765,-1.2208,0.0
2018-12-10,5815.661,5860.639,5778.831,5798.665,5887.63,1521740752,28683336448.0,0.006335,-1.511,0.0
2018-12-11,5804.33,5845.868,5804.258,5843.983,5798.665,1091056224,21698879744.0,0.004542,0.7815,0.0
2018-12-12,5880.701,5883.499,5834.525,5865.632,5843.983,991107216,20026376704.0,0.004127,0.3704,0.0
2018-12-13,5873.619,6000.304,5855.547,5976.42,5865.632,1560914864,34795383040.0,0.006499,1.8888,0.0
2018-12-14,5949.594,5953.305,5866.872,5870.126,5976.42,1517530720,30601950976.0,0.006318,-1.7786,0.0
2018-12-17,5845.281,5855.43,5763.503,5820.349,5870.126,1164043168,24648895232.0,0.004827,-0.848,0.0
2018-12-18,5778.956,5833.359,5746.645,5779.407,5820.349,1071689408,21318431488.0,0.004444,-0.7034,0.0
