name,1yReturn,3yReturn,5yReturn,Sharp,AdjustedSharp,Sortino,Calmar,AnnualizedReturn,Volatility,MaxDrawdown,MaxDrawdownDuration,TotalDays,StartDate,EndDate
中证1000ETF广发_560010,30.2024%,23.1047%,,1.0203,1.0049,12.3177,14.2349,175.3278%,163.7624%,-12.3167%,92,310,2022-08-04,2026-02-24
上证指数ETF汇添富_510980,25.7669%,,,1.1173,0.9984,1.3383,1.4356,18.8838%,16.7786%,-13.1536%,189,532,2023-12-01,2026-02-24
智能制造ETF_516800,37.1384%,77.3509%,79.5292%,1.0556,0.9867,1.6685,1.0744,30.713%,30.0723%,-28.586%,257,1214,2021-02-19,2026-02-24
科技100ETF_515580,48.2379%,68.6717%,59.4787%,1.0598,0.9808,1.7353,1.2904,28.6377%,26.2572%,-22.1935%,261,1538,2019-09-27,2026-02-24
半导体ETF_512480,43.6851%,90.2635%,61.7332%,1.0332,0.9758,1.7217,1.0884,37.513%,36.1053%,-34.4671%,219,1631,2019-05-08,2026-02-24
消电ETF国泰_561310,34.2541%,83.2579%,,1.0413,0.9743,1.7317,1.2145,32.2064%,30.9336%,-26.5185%,164,1006,2021-11-25,2026-02-24
中证500增强ETF招商_561950,36.2816%,,,1.0661,0.9714,1.5985,1.2564,23.7009%,21.8876%,-18.8639%,123,665,2023-04-24,2026-02-24
云计算ETF天弘_517390,39.2615%,110.9589%,,1.0186,0.9613,1.7843,1.0876,35.6604%,36.257%,-32.7869%,265,986,2021-12-23,2026-02-24
中证1000增强ETF工银_561280,51.3889%,,,1.023,0.9485,1.5026,0.9039,27.5489%,27.5152%,-30.4771%,207,576,2023-09-22,2026-02-24
上证指数ETF国泰_510760,25.5858%,41.6429%,48.7661%,1.0724,0.9473,1.3702,1.3662,18.1069%,16.5767%,-13.253%,173,1322,2020-08-21,2026-02-24
人工智能AIETF_515070,45.3763%,98.4344%,69.4236%,1.0021,0.943,1.7161,1.2145,36.1323%,35.0653%,-29.7505%,262,1495,2019-12-09,2026-02-24
芯片ETF_512760,42.455%,83.2998%,49.2219%,0.9986,0.9403,1.689,1.0698,35.3014%,35.5597%,-32.997%,219,1630,2019-05-16,2026-02-24
电子50ETF_515320,34.1151%,78.4397%,29.6907%,1.0068,0.9398,1.6917,1.2506,30.867%,30.9433%,-24.6809%,255,1218,2021-01-08,2026-02-24
半导体设备ETF华夏_562590,63.7975%,,,0.9933,0.9365,1.6865,1.0419,34.003%,35.9508%,-32.6356%,215,571,2023-10-09,2026-02-24
AI人工智能ETF_512930,45.3095%,97.3616%,76.7103%,0.9954,0.9361,1.7047,1.2112,35.8667%,34.9676%,-29.6116%,259,1579,2019-07-12,2026-02-24
科技龙头ETF工银_516050,45.8824%,73.2919%,18.9765%,1.0028,0.9327,1.6528,1.2111,29.3248%,29.569%,-24.2138%,210,1198,2021-02-05,2026-02-24
科创信息ETF嘉实_588100,44.7811%,109.9609%,,0.9844,0.9302,1.8648,1.2033,36.2174%,38.2607%,-30.0988%,258,887,2022-05-27,2026-02-24
科创50增强ETF_588460,41.357%,68.2692%,,0.984,0.9251,1.8275,1.3161,34.3099%,35.1709%,-26.0688%,260,762,2022-12-01,2026-02-24
消费电子ETF_561600,33.1915%,75.1049%,,0.9799,0.9149,1.6074,1.1278,30.6873%,31.9054%,-27.209%,165,1054,2021-09-09,2026-02-24
科创成长ETF_588110,67.1096%,,,0.9586,0.9039,1.6304,1.0639,33.9243%,37.7738%,-31.8855%,258,592,2023-08-31,2026-02-24
科创信息ETF_588260,43.4193%,106.2439%,,0.9542,0.9007,1.773,1.1262,35.4205%,38.7593%,-31.4516%,254,887,2022-05-27,2026-02-24
信息科技ETF南方_512330,44.8763%,74.2827%,63.1841%,0.9591,0.8993,1.5952,0.9892,33.0461%,34.6421%,-33.4066%,213,2575,2015-06-29,2026-02-24
稀有金属ETF基金_561800,112.9799%,46.5409%,,0.959,0.8985,1.5643,1.0187,31.7715%,34.3005%,-31.1881%,275,1066,2021-08-24,2026-02-24
石油ETF_561360,52.7833%,,,0.9863,0.8943,1.2376,0.9875,21.2563%,22.0609%,-21.5254%,263,562,2023-10-23,2026-02-24
物联网ETF华夏_516260,34.8595%,72.5699%,,0.962,0.8894,1.5188,1.1382,26.8252%,28.58%,-23.5677%,255,1082,2021-08-02,2026-02-24
中证500增强ETF易方达_563030,43.8766%,49.2448%,,0.9749,0.8861,1.4169,1.0218,22.684%,23.3289%,-22.199%,258,719,2023-02-17,2026-02-24
上证指数ETF_510210,27.0833%,46.5662%,40.2068%,0.9899,0.8777,1.3066,1.1457,18.4593%,18.4696%,-16.1111%,192,2702,2015-01-05,2026-02-24
银行ETF华夏_515020,5.5591%,47.6318%,32.16%,1.0061,0.8776,1.5302,1.0408,15.6747%,16.1251%,-15.0599%,148,1514,2019-10-24,2026-02-24
双创50ETF增强_588320,57.1576%,53.5211%,,0.9389,0.8771,1.5689,1.1297,30.4756%,33.5392%,-26.9767%,261,757,2022-12-28,2026-02-24
1000增强ETF博时_561780,44.1674%,,,0.9485,0.8736,1.33,0.9002,24.5033%,26.9851%,-27.2195%,209,554,2023-11-02,2026-02-24
智能消费ETF博时_515920,21.4137%,56.3588%,22.9474%,0.9379,0.858,1.5032,1.117,24.2883%,25.9139%,-21.745%,258,1235,2020-12-30,2026-02-24
银行ETF天弘_515290,5.6061%,46.7368%,24.2424%,0.9769,0.8517,1.3945,1.0108,15.5069%,16.5599%,-15.342%,148,1249,2020-12-11,2026-02-24
中证1000增强ETF_561590,44.3815%,46.5964%,,0.9325,0.8513,1.41,0.8963,23.8393%,25.5352%,-26.5979%,259,776,2022-11-23,2026-02-24
中证500ETF华泰柏瑞_512510,43.838%,45.6328%,56.2141%,0.9313,0.8451,1.3544,0.9824,22.1884%,24.0505%,-22.5868%,258,2602,2015-05-13,2026-02-24
银行ETF鹏华_512730,4.7337%,44.4243%,30.4668%,0.9718,0.8405,1.5038,0.9794,14.8768%,15.7807%,-15.1892%,148,1474,2019-12-19,2026-02-24
银行ETF南方_512700,5.3604%,45.9702%,24.9284%,0.964,0.8391,1.4342,0.9846,15.3168%,16.5828%,-15.5558%,148,2084,2017-06-28,2026-02-24
上证50ETF易方达_510100,136.1681%,166.3355%,108.0662%,0.8698,0.8387,5.4645,5.2,54.8241%,66.7816%,-10.5431%,122,1551,2019-09-06,2026-02-24
中证2000ETF富国_563200,44.714%,,,0.9032,0.8354,1.163,0.7146,25.3706%,30.1293%,-35.5019%,232,571,2023-09-28,2026-02-24
A股ETF_563330,30.5955%,,,0.9281,0.8342,1.2337,1.0052,19.2688%,21.509%,-19.17%,212,553,2023-11-07,2026-02-24
沪港深500ETF_517000,18.3371%,35.9948%,,0.9541,0.8331,1.2999,0.9697,16.7902%,17.1468%,-17.3154%,254,1183,2021-03-05,2026-02-24
银行ETF汇添富_512820,4.7656%,45.1906%,22.3073%,0.9573,0.8318,1.3644,0.9705,15.1889%,16.515%,-15.6505%,148,1759,2018-10-23,2026-02-24
双创50ETF基金_588350,54.4008%,53.5865%,,0.8806,0.8212,1.5631,1.025,28.9358%,34.8647%,-28.2297%,261,798,2022-10-26,2026-02-24
中证500增强ETF汇添富_560950,38.2298%,,,0.9147,0.8212,1.3889,0.9333,20.2682%,22.1688%,-21.7172%,258,622,2023-07-19,2026-02-24
一带一路ETF易方达_515110,35.0453%,42.6975%,47.2817%,0.9276,0.8135,1.3414,0.9919,16.8934%,18.1632%,-17.0312%,191,1490,2019-11-06,2026-02-24
沪港深500ETF富国_517100,19.1827%,36.541%,,0.9297,0.8129,1.2528,0.9606,16.9665%,17.7551%,-17.6627%,164,1186,2021-03-02,2026-02-24
中证500ETF工银_510530,43.4134%,40.6096%,39.2803%,0.8993,0.8117,1.3805,0.9051,20.9446%,23.676%,-23.1414%,258,1498,2019-10-17,2026-02-24
中证500增强ETF南方_560100,40.321%,43.6345%,,0.9003,0.8099,1.2001,1.0205,20.2982%,22.939%,-19.8913%,190,954,2022-02-16,2026-02-24
中证2000ETF广发_560220,39.0375%,,,0.8758,0.8079,1.1654,0.737,24.4267%,30.2203%,-33.1434%,207,580,2023-09-18,2026-02-24
科创50增强ETF南方_588370,44.1475%,57.9798%,,0.8684,0.8078,1.5972,0.9182,28.305%,34.1976%,-30.8271%,261,775,2022-12-01,2026-02-24
中证1000ETF华泰柏瑞_516300,31.3097%,209.541%,,0.8257,0.8038,4.3294,2.3196,70.0863%,94.7183%,-30.2144%,210,1193,2021-03-15,2026-02-24
中证800ETF易方达_515810,29.8938%,37.7313%,15.2862%,0.9079,0.8037,1.2275,0.9377,17.4632%,19.9041%,-18.624%,258,1539,2019-10-08,2026-02-24
战略新兴ETF_512770,52.5532%,33.1889%,-3.629%,0.8785,0.8019,1.4346,0.8173,22.8413%,27.0497%,-27.9476%,262,1824,2018-07-13,2026-02-24
中证500ETF广发_510510,41.4067%,39.1983%,39.5616%,0.8892,0.8011,1.3337,0.9059,20.5083%,23.5334%,-22.6383%,258,2702,2015-01-05,2026-02-24
沪港深500ETF汇添富_517080,17.8694%,34.3342%,4.6796%,0.915,0.7939,1.2162,0.9252,15.9782%,17.115%,-17.2691%,164,1193,2021-02-22,2026-02-24
中证1000增强ETF鹏华_560590,36.7736%,,,0.8661,0.7918,1.2495,0.7472,22.2033%,27.5749%,-29.7143%,206,575,2023-09-25,2026-02-24
央企能源ETF嘉实_562850,28.7736%,,,0.9103,0.7913,1.2879,0.9093,15.8303%,17.4234%,-17.4092%,242,608,2023-08-09,2026-02-24
化工行业ETF易方达_516570,55.3596%,30.1136%,,0.8871,0.7908,1.1555,0.7771,18.718%,21.5337%,-24.0868%,241,1113,2021-06-18,2026-02-24
中证500ETF国泰_561350,40.6383%,41.9979%,,0.8794,0.7908,1.3725,0.8729,20.1448%,23.4101%,-23.0769%,255,1060,2021-09-01,2026-02-24
中证500ETF华夏_512500,41.5334%,38.6868%,39.1808%,0.8772,0.7899,1.3213,0.86,20.3461%,23.7463%,-23.6583%,258,2610,2015-05-05,2026-02-24
中证500ETF平安_510590,43.3708%,39.9574%,43.9373%,0.8758,0.7897,1.2875,0.8957,20.6129%,24.077%,-23.0123%,258,1899,2018-03-23,2026-02-24
银行ETF指数基金_516210,5.4893%,44.918%,,0.9111,0.7879,1.3662,1.0327,15.7011%,16.8273%,-15.2047%,149,1045,2021-09-24,2026-02-24
央企能源ETF博时_561790,27.9245%,,,0.9059,0.7859,1.2197,0.8663,15.7112%,17.2777%,-18.1369%,246,608,2023-08-09,2026-02-24
物联网ETF_516330,33.4821%,63.9254%,,0.8544,0.7842,1.3744,1.0219,24.1629%,29.5396%,-23.6443%,255,1158,2021-04-09,2026-02-24
中证500ETF_510500,41.3592%,38.4693%,39.2002%,0.8693,0.7824,1.3107,0.856,20.2033%,23.8518%,-23.6017%,258,2702,2015-01-05,2026-02-24
碳中和ETF广发_560550,42.4321%,28.4714%,,0.8772,0.779,1.2478,0.839,17.8935%,21.1126%,-21.3264%,257,873,2022-07-11,2026-02-24
科创创业ETF博时_588390,53.092%,49.705%,,0.8322,0.7715,1.4362,0.9247,26.222%,34.1646%,-28.3582%,255,1062,2021-08-30,2026-02-24
家电ETF_561120,12.9084%,43.1313%,,0.8577,0.7657,1.1963,0.8826,18.8124%,22.541%,-21.3144%,209,955,2022-02-15,2026-02-24
中证500ETF国联_515550,41.6667%,38.9302%,42.0973%,0.8468,0.7624,1.2052,0.884,20.0615%,24.5545%,-22.695%,180,1497,2019-11-15,2026-02-24
超大盘ETF博时_510020,26.7185%,30.0932%,-1.883%,0.8724,0.7622,1.2658,1.1027,15.693%,18.8083%,-14.2313%,257,2702,2015-01-05,2026-02-24
碳中和ETF富国_561190,43.4501%,28.0093%,,0.854,0.7574,1.2053,0.8026,17.7203%,21.4764%,-22.0796%,257,875,2022-07-11,2026-02-24
中证2000ETF国泰_561370,38.4135%,,,0.8253,0.7569,1.0704,0.6579,22.3804%,29.9892%,-34.0187%,229,577,2023-09-21,2026-02-24
上证180ETF_510180,22.5454%,30.7163%,5.1785%,0.8812,0.7563,1.2105,0.992,14.2041%,16.5941%,-14.3181%,257,2702,2015-01-05,2026-02-24
一带一路ETF富国_515150,35.52%,39.3092%,39.6538%,0.8661,0.7561,1.2731,0.9089,16.0702%,18.8391%,-17.6805%,192,1489,2019-11-06,2026-02-24
沪深300ETF易方达_510310,21.9057%,150.9536%,96.9162%,0.7766,0.7558,1.6237,1.0308,51.5004%,99.5647%,-49.9598%,250,2702,2015-01-05,2026-02-24
方正中证500ETF_510550,40.462%,37.0251%,33.8365%,0.8417,0.755,1.2476,0.8562,19.3344%,23.9079%,-22.5829%,258,1725,2018-11-30,2026-02-24
双创ETF基金_588310,52.5449%,46.6187%,,0.8086,0.7473,1.4309,0.8799,25.0889%,33.8144%,-28.5146%,258,1001,2021-12-02,2026-02-24
能源ETF工银_561260,28.4091%,,,0.8584,0.7462,1.1622,0.6894,15.6099%,18.4769%,-22.6444%,311,608,2023-08-09,2026-02-24
碳中和ETF易方达_562990,43.1907%,27.6301%,,0.84,0.7439,1.1515,0.7989,17.4338%,21.5763%,-21.8228%,257,874,2022-07-11,2026-02-24
上证380ETF南方_510290,34.9238%,30.2469%,41.2461%,0.8425,0.7426,1.1041,0.8651,16.986%,20.7322%,-19.6347%,258,2702,2015-01-05,2026-02-24
上证中盘ETF易方达_510130,24.6072%,38.1394%,29.6348%,0.852,0.7398,1.1205,0.9739,15.4371%,18.4732%,-15.8512%,258,2702,2015-01-05,2026-02-24
MSCIA股ETF易方达_512090,24.8744%,27.7635%,11.7482%,0.8566,0.7392,1.2901,0.8592,14.7055%,17.6563%,-17.1159%,258,1877,2018-05-17,2026-02-24
科技50ETF_515750,22.859%,46.9661%,23.1023%,0.8114,0.7367,1.334,0.8458,21.5881%,27.7674%,-25.5233%,259,1507,2019-11-15,2026-02-24
金融地产ETF华夏_510650,8.8191%,46.9223%,30.0581%,0.8456,0.7357,1.1701,1.1983,14.6713%,18.86%,-12.243%,161,2702,2015-01-05,2026-02-24
化工50ETF_516120,60.6299%,19.1589%,,0.8205,0.7347,1.1529,0.682,18.5655%,24.1699%,-27.2214%,474,1204,2021-03-01,2026-02-24
中证A100ETF_512910,26.0994%,29.6975%,-3.1374%,0.8415,0.7336,1.1902,0.795,15.3194%,19.2113%,-19.2699%,258,1617,2019-05-27,2026-02-24
方正沪深300ETF_515360,24.3793%,28.0361%,10.0413%,0.8422,0.7285,1.2685,0.7782,14.1508%,18.2442%,-18.1833%,256,1533,2019-09-27,2026-02-24
沪港深500ETF易方达_517010,17.7551%,34.6558%,,0.8361,0.7279,1.236,0.9367,15.9079%,19.1578%,-16.9834%,164,1074,2021-08-12,2026-02-24
MSCI中国A股ETF南方_512160,24.8564%,27.6846%,8.2909%,0.8415,0.727,1.2092,0.8606,14.8754%,18.0969%,-17.284%,258,1899,2018-04-03,2026-02-24
物联网ETF天弘_517660,10.5607%,51.8614%,,0.8058,0.7225,1.2533,0.8174,18.9251%,24.8742%,-23.1515%,255,1029,2021-10-25,2026-02-24
科技ETF嘉实_515860,36.6175%,51.2887%,22.7178%,0.7956,0.7216,1.2752,0.8264,21.1156%,27.986%,-25.5518%,259,1542,2019-09-26,2026-02-24
MSCIA股ETF华夏_512990,24.0684%,27.0169%,10.2008%,0.8375,0.7216,1.1987,0.8518,14.6075%,17.8713%,-17.1485%,258,2658,2015-02-12,2026-02-24
长三角ETF汇添富_512650,33.8883%,32.4612%,5.3159%,0.8185,0.721,1.2163,0.7943,16.8247%,21.2567%,-21.1813%,258,1547,2019-07-26,2026-02-24
科创50ETF易方达_588080,33.8232%,48.7216%,7.9775%,0.7787,0.7194,1.4787,0.7806,24.7268%,34.9743%,-31.677%,259,1287,2020-09-28,2026-02-24
中证500ETF泰康_515530,41.2639%,37.308%,37.6396%,0.8018,0.7173,1.1844,0.7154,18.6804%,24.519%,-26.1115%,222,1261,2020-11-09,2026-02-24
科创50ETF_588000,32.9027%,49.3708%,9.5103%,0.7747,0.7158,1.4433,0.7759,24.7142%,35.219%,-31.8504%,259,1284,2020-09-28,2026-02-24
中证500ETF中银证券_515190,41.1669%,36.3067%,36.6275%,0.7942,0.7139,1.16,0.8278,19.3167%,25.8104%,-23.3361%,262,1396,2020-04-30,2026-02-24
央企回报ETF招商_561960,22.0207%,,,0.8316,0.7098,1.1208,0.9489,13.4545%,17.0264%,-14.1798%,191,660,2023-05-24,2026-02-24
中证2000ETF_563300,35.3778%,,,0.7764,0.7082,1.0551,0.6323,20.7142%,30.1647%,-32.7619%,226,582,2023-09-14,2026-02-24
科创50ETF工银_588050,33.0389%,47.3581%,7.8024%,0.7659,0.7069,1.4362,0.7613,24.254%,35.1555%,-31.8602%,259,1284,2020-09-28,2026-02-24
中证1000成长ETF_562520,32.1558%,32.6364%,,0.7833,0.7066,1.1919,0.6957,19.6926%,27.0316%,-28.3077%,259,930,2022-03-22,2026-02-24
人工智能50ETF_517800,21.5527%,49.0057%,,0.773,0.7044,1.3281,0.6241,21.3292%,30.2311%,-34.1753%,256,1064,2021-08-26,2026-02-24
科创50ETF华泰柏瑞_588090,33.0688%,47.3633%,6.8697%,0.7632,0.7041,1.4281,0.7553,24.0682%,35.0305%,-31.8648%,261,1284,2020-09-28,2026-02-24
800ETF_515800,26.8151%,29.1706%,8.4382%,0.81,0.7026,1.129,0.8275,15.0963%,19.3133%,-18.2437%,258,1518,2019-10-08,2026-02-24
500等权ETF_515590,37.1735%,35.6291%,46.81%,0.7886,0.7023,1.0871,0.7499,18.1065%,24.0273%,-24.1452%,259,1485,2019-11-14,2026-02-24
央企红利ETF广发_560700,23.5467%,,,0.8168,0.702,1.0499,0.9613,13.8569%,18.0435%,-14.4142%,191,660,2023-05-24,2026-02-24
房地产ETF_512200,6.6667%,110.989%,83.2936%,0.7128,0.7004,1.9603,0.6947,44.2513%,166.8658%,-63.6998%,311,2041,2017-08-25,2026-02-24
一带一路ETF汇添富_515990,32.856%,33.2801%,34.6774%,0.8157,0.6991,1.1625,0.8056,14.3323%,17.7622%,-17.7919%,216,1489,2019-11-06,2026-02-24
碳中和ETF汇添富_560060,41.0526%,24.6512%,,0.7943,0.6984,1.1058,0.7429,16.317%,21.6223%,-21.9638%,257,871,2022-07-13,2026-02-24
沪港深300ETF易方达_517030,18.2099%,30.7167%,,0.8119,0.6958,1.0907,0.8718,14.4626%,17.8613%,-16.5893%,254,1043,2021-09-28,2026-02-24
沪港深500ETF华夏_517170,18.1102%,33.2487%,,0.8,0.6947,1.0304,0.887,15.8961%,19.6753%,-17.9221%,254,1152,2021-04-20,2026-02-24
金融ETF_510230,8.2223%,44.9286%,16.1825%,0.8001,0.6916,1.1397,0.9246,14.0491%,19.1076%,-15.195%,173,2702,2015-01-05,2026-02-24
化工ETF国泰_516220,58.2569%,16.0314%,,0.7765,0.6914,1.1112,0.6365,17.3596%,24.3614%,-27.2727%,476,1203,2021-03-02,2026-02-24
价值ETF_510030,9.432%,36.4096%,29.5318%,0.8216,0.6884,1.2758,0.9956,11.9901%,15.5536%,-12.0425%,171,2702,2015-01-05,2026-02-24
科创50ETF南方_588150,33.8521%,47.851%,,0.7467,0.6872,1.4033,0.7113,23.0332%,34.8961%,-32.3838%,256,989,2021-12-20,2026-02-24
张江ETF汇添富_517850,31.8087%,36.933%,,0.7577,0.6869,1.2473,0.6161,20.2754%,29.3069%,-32.9114%,216,896,2022-05-16,2026-02-24
A100ETF_561180,24.1475%,25.419%,,0.7994,0.6867,1.1427,0.7731,14.0489%,18.394%,-18.173%,258,791,2022-11-03,2026-02-24
中证500ETF兴业_510570,40.0%,37.3557%,34.9485%,0.7694,0.686,1.0993,0.8233,18.3758%,24.8727%,-22.3204%,255,1318,2020-08-12,2026-02-24
沪深300ETF民生加银_515350,21.852%,25.8252%,5.0434%,0.805,0.6836,1.2219,0.7987,13.2218%,17.0725%,-16.5531%,257,1472,2019-12-27,2026-02-24
科创50ETF指数基金_588280,33.3753%,47.493%,,0.7417,0.6818,1.3945,0.7098,22.8326%,34.6375%,-32.1689%,259,1025,2021-10-29,2026-02-24
上证50ETF工银_510850,18.6303%,24.6589%,-5.6287%,0.8051,0.6794,1.1378,0.8617,12.4861%,16.4913%,-14.4902%,257,1702,2018-12-07,2026-02-24
ESGETF浦银_516720,26.5766%,31.0023%,,0.794,0.6794,1.1643,0.8988,14.2201%,18.0878%,-15.8205%,255,1073,2021-08-13,2026-02-24
科创100ETF南方_588900,48.7057%,,,0.7286,0.6778,1.1287,0.6358,23.3403%,39.1047%,-36.7127%,192,527,2023-12-08,2026-02-24
沪深300ETF工银_510350,22.4546%,26.4355%,-0.9767%,0.7894,0.6742,1.1329,0.8113,13.5865%,17.992%,-16.7475%,258,1591,2019-05-20,2026-02-24
创新100ETF申万菱信_515200,34.8241%,33.0%,17.211%,0.7551,0.6723,1.2492,0.6774,18.1169%,25.0521%,-26.7456%,258,1522,2019-10-25,2026-02-24
科创100ETF易方达_588210,50.3455%,,,0.7144,0.6619,1.1183,0.5784,22.2999%,38.2674%,-38.5542%,207,543,2023-11-16,2026-02-24
180ESGETF工银_510990,20.1784%,25.9346%,,0.7913,0.6584,1.1055,0.8876,12.3483%,15.6033%,-13.912%,254,1103,2021-07-02,2026-02-24
沪深300ETF平安_510390,22.5859%,25.888%,-0.2596%,0.77,0.6568,1.0806,0.7889,13.4801%,18.298%,-17.0864%,258,1972,2017-12-25,2026-02-24
沪深300ETF国联安_515660,22.2431%,26.4693%,1.7913%,0.7694,0.6548,1.1937,0.7671,13.3077%,18.0917%,-17.3485%,258,1496,2019-11-25,2026-02-24
MSCIETF_512520,23.0514%,23.5637%,7.5164%,0.7731,0.6537,1.1729,0.7354,12.9282%,17.3677%,-17.5805%,258,1888,2018-04-26,2026-02-24
央企红利ETF汇添富_560070,21.7941%,,,0.7731,0.6522,1.0912,0.8656,12.5626%,17.1437%,-14.5124%,192,660,2023-05-24,2026-02-24
300ESGETF_516830,20.2103%,27.9851%,,0.7709,0.6518,1.111,0.8448,13.26%,17.3953%,-15.6962%,255,1101,2021-07-05,2026-02-24
上证50ETF万家_510680,17.2662%,21.5511%,-5.4798%,0.7817,0.6512,1.2609,0.797,11.5876%,15.8791%,-14.5385%,257,2702,2015-01-05,2026-02-24
沪深300ETF华夏_510330,21.8731%,24.7559%,-3.5115%,0.7647,0.6496,1.0966,0.7669,13.0391%,18.0093%,-17.0018%,257,2702,2015-01-05,2026-02-24
MSCI中国ETF银华_512380,21.9911%,21.0022%,6.762%,0.7667,0.6459,1.1079,0.7192,12.6319%,17.1605%,-17.5644%,258,1657,2019-03-19,2026-02-24
央企ETF工银_510060,6.973%,32.7664%,20.8011%,0.7776,0.6452,0.9981,0.7856,11.4556%,15.656%,-14.5826%,266,2702,2015-01-05,2026-02-24
沪深300红利ETF建信_512530,11.4903%,33.4167%,29.1129%,0.7835,0.6449,1.0854,0.9819,10.9165%,14.9494%,-11.1181%,183,1557,2019-08-23,2026-02-24
科创100ETF华泰柏瑞_588880,49.502%,,,0.6976,0.6447,1.0943,0.5513,21.4198%,37.9983%,-38.8554%,207,543,2023-11-16,2026-02-24
800价值ETF汇添富_560030,15.5556%,,,0.7687,0.6434,0.9222,0.8027,12.8429%,16.544%,-16.0%,212,621,2023-07-10,2026-02-24
沪深300价值ETF银华_562320,12.0363%,33.2353%,,0.7718,0.6429,0.9951,0.7557,11.6218%,16.0772%,-15.379%,215,754,2022-12-29,2026-02-24
沪深300ETF华泰柏瑞_510300,21.8028%,24.4717%,-3.9447%,0.7559,0.6417,1.068,0.763,12.9201%,18.1437%,-16.9324%,257,2702,2015-01-05,2026-02-24
沪深300ETF泰康_515380,21.6222%,25.7063%,-1.9154%,0.7504,0.6405,1.0411,0.6704,13.2529%,18.8442%,-19.7688%,257,1447,2019-12-27,2026-02-24
上证50ETF建信_510800,16.6126%,21.5372%,-6.6191%,0.7614,0.6353,1.0612,0.8416,11.6038%,16.4415%,-13.7871%,256,1965,2017-12-22,2026-02-24
上证50ETF_510050,17.2296%,21.3377%,-9.9715%,0.7637,0.6353,1.0984,0.7861,11.4789%,16.1477%,-14.6018%,256,2702,2015-01-05,2026-02-24
沪深300ETF博时_515130,23.1445%,25.8564%,0.5212%,0.7488,0.6346,1.0393,0.7738,13.2239%,18.1467%,-17.0897%,254,1381,2020-05-11,2026-02-24
产业升级ETF南方_510160,15.4491%,30.6233%,33.3333%,0.7529,0.6302,0.9789,0.8526,12.1938%,16.8775%,-14.3017%,191,2702,2015-01-05,2026-02-24
大湾区ETF_512970,18.4458%,25.1244%,-1.9493%,0.7219,0.6293,1.0456,0.7163,14.86%,22.379%,-20.7447%,258,1530,2019-09-23,2026-02-24
