date,volume_k
2024-11-06,78011673
2024-11-07,83399414
2024-11-08,96033835
2024-11-11,77592125
2024-11-12,76301354
2024-11-13,53719461
2024-11-14,56338310
2024-11-15,61240154
2024-11-18,55202355
2024-11-19,55048442
2024-11-20,46452241
2024-11-21,39889458
2024-11-22,49415277
2024-11-25,44264866
2024-11-26,30972018
2024-11-27,47102032
2024-11-28,39292007
2024-11-29,53097510
2024-12-02,40333973
2024-12-03,42176813
2024-12-04,41192181
2024-12-05,30932102
2024-12-06,54541380
2024-12-09,40381012
2024-12-10,70133186
2024-12-11,39782835
2024-12-12,42718609
2024-12-13,56572376
2024-12-16,35097629
2024-12-17,38137620
2024-12-18,37463363
2024-12-19,39293783
2024-12-20,49503251
2024-12-23,43815734
2024-12-24,41653357
2024-12-25,41388689
2024-12-26,38172364
2024-12-27,44429016
2024-12-30,39311166
2024-12-31,54425928
2025-01-02,57703922
2025-01-03,46344708
2025-01-06,38228693
2025-01-07,38277018
2025-01-08,45012096
2025-01-09,30719094
2025-01-10,37439318
2025-01-13,29463340
2025-01-14,50635461
2025-01-15,30513289
2025-01-16,40466854
2025-01-17,33897131
2025-01-20,31646619
2025-01-21,31253463
2025-01-22,33437410
2025-01-23,42417409
2025-01-24,36587592
2025-01-27,36744925
2025-02-05,37345648
2025-02-06,44027542
2025-02-07,60276066
2025-02-10,42576711
2025-02-11,35280298
2025-02-12,40304948
2025-02-13,43323049
2025-02-14,42700134
2025-02-17,45861690
2025-02-18,42725887
2025-02-19,40989137
2025-02-20,36889292
2025-02-21,64273880
2025-02-24,52417302
2025-02-25,43257484
2025-02-26,48198372
2025-02-27,49840882
2025-02-28,53894443
2025-03-03,45440522
2025-03-04,38578946
2025-03-05,41796379
2025-03-06,60318687
2025-03-07,48198491
2025-03-10,44359885
2025-03-11,40553539
2025-03-12,34860031
2025-03-13,37992553
2025-03-14,59198037
2025-03-17,37676128
2025-03-18,34936701
2025-03-19,33031198
2025-03-20,35263728
2025-03-21,42809731
2025-03-24,34808746
2025-03-25,30662263
2025-03-26,29127571
2025-03-27,33451729
2025-03-28,29914964
2025-03-31,35665942
2025-04-01,30724059
2025-04-02,25156055
2025-04-03,35014461
2025-04-07,105338014
2025-04-08,110196889
2025-04-09,57612916
2025-04-10,45701733
2025-04-11,41517648
2025-04-14,32077628
2025-04-15,33680286
2025-04-16,50831329
2025-04-17,33132095
2025-04-18,35147634
2025-04-21,26636306
2025-04-22,24988318
2025-04-23,26202253
2025-04-24,23461919
2025-04-25,26106652
2025-04-28,22764075
2025-04-29,21294618
2025-04-30,23806700
2025-05-06,27866768
2025-05-07,38734730
2025-05-08,28928809
2025-05-09,28824434
2025-05-12,34334768
2025-05-13,30854336
2025-05-14,41248663
2025-05-15,29304030
2025-05-16,25763485
2025-05-19,22000676
2025-05-20,21985364
2025-05-21,22991103
2025-05-22,21993239
2025-05-23,28563377
2025-05-26,23188934
2025-05-27,21255474
2025-05-28,18170497
2025-05-29,29650966
2025-05-30,26237332
2025-06-03,23288876
2025-06-04,21369634
2025-06-05,30455483
2025-06-06,22875830
2025-06-09,27585769
2025-06-10,33901410
2025-06-11,29991974
2025-06-12,23952587
2025-06-13,31331064
2025-06-16,24386177
2025-06-17,23797314
2025-06-18,24348653
2025-06-19,28693819
2025-06-20,22716333
2025-06-23,26600386
2025-06-24,38294741
2025-06-25,52296761
2025-06-26,40877502
2025-06-27,41410002
2025-06-30,38525164
2025-07-01,28232344
2025-07-02,27415180
2025-07-03,24747170
2025-07-04,36314546
2025-07-07,21078342
2025-07-08,30128094
2025-07-09,29655601
2025-07-10,31198961
2025-07-11,51472504
2025-07-14,31249278
2025-07-15,36426925
2025-07-16,31508562
2025-07-17,34122417
2025-07-18,35840463
2025-07-21,35504478
2025-07-22,47537249
2025-07-23,52942070
2025-07-24,43939129
2025-07-25,47214324
2025-07-28,41404478
2025-07-29,44497267
2025-07-30,47856454
2025-07-31,52681541
2025-08-01,38194718
2025-08-04,30950215
2025-08-05,32224877
2025-08-06,31906060
2025-08-07,37307714
2025-08-08,30860759
2025-08-11,35238204
2025-08-12,42094793
2025-08-13,47193200
2025-08-14,56988259
2025-08-15,51976418
2025-08-18,62972405
2025-08-19,49185433
2025-08-20,58561325
2025-08-21,53200065
2025-08-22,81243495
2025-08-25,95628308
2025-08-26,60937992
2025-08-27,89780716
2025-08-28,90388539
2025-08-29,77659623
2025-09-01,65787580
2025-09-02,71032589
2025-09-03,63696705
2025-09-04,78946386
2025-09-05,60929271
2025-09-08,51253651
2025-09-09,45566982
2025-09-10,41049947
2025-09-11,69901997
2025-09-12,60091034
2025-09-15,51070319
2025-09-16,53551109
2025-09-17,51092821
2025-09-18,83423192
2025-09-19,54619999
2025-09-22,51733838
2025-09-23,63081359
2025-09-24,61521207
2025-09-25,52986626
2025-09-26,48499925
2025-09-29,68663004
2025-09-30,57365749
2025-10-09,83849935
2025-10-10,91978315
2025-10-13,84514351
2025-10-14,98771075
2025-10-15,75280039
2025-10-16,66386148
2025-10-17,77184348
2025-10-20,63840908
2025-10-21,72165921
2025-10-22,53889570
2025-10-23,53040743
2025-10-24,60000000
2025-10-27,78116632
2025-10-28,61265485
2025-10-29,69881416
2025-10-30,71197573
2025-10-31,75109373
2025-11-03,65063809
2025-11-04,61666252
2025-11-05,53526282
2025-11-06,59820914
2025-11-07,45553920
2025-11-10,54362054
2025-11-11,48192644
2025-11-12,52571306
2025-11-13,46421227
2025-11-14,49336737
2025-11-17,53012396
2025-11-18,54345410
2025-11-19,50363249
2025-11-20,53141499
2025-11-21,80620003
2025-11-24,58016046
2025-11-25,58203861
2025-11-26,55162381
2025-11-27,48289463
2025-11-28,41083415
2025-12-01,45330870
2025-12-02,37111023
2025-12-03,39100196
2025-12-04,41358420
2025-12-05,54521124
2025-12-08,64575722
2025-12-09,50721138
2025-12-10,48793786
2025-12-11,43399244
2025-12-12,52266189
2025-12-15,44907501
2025-12-16,53410036
2025-12-17,58402121
2025-12-18,44477470
2025-12-19,46085287
2025-12-22,51724085
2025-12-23,48614663
2025-12-24,49541659
2025-12-25,48580145
2025-12-26,60554062
2025-12-29,59195247
2025-12-30,52887729
2025-12-31,53250537
2026-01-05,72711181
2026-01-06,81610943
2026-01-07,75945106
2026-01-08,74915969
2026-01-09,82552676
2026-01-12,90514606
2026-01-13,99862101
2026-01-14,125800085
2026-01-15,193855667
2026-01-16,204981108
2026-01-19,151312768
2026-01-20,154469980
2026-01-21,201428520
2026-01-22,163325965
2026-01-23,219646812
2026-01-26,191784494
2026-01-27,161930863
2026-01-28,252621898
2026-01-29,174134334
2026-01-30,133706246
2026-02-02,149857596
2026-02-03,125082792
2026-02-04,112056584
2026-02-05,103178815
2026-02-06,98023231
2026-02-09,88443048
2026-02-10,78126572
2026-02-11,68828952
2026-02-12,78589278
2026-02-13,96246434
2026-02-24,62437572
